GP_name,quali_position,name_constructor,age_at_gp_in_days,driver,position,driver_confidence,constructor_reliability,driver_home,constructor_home
0,12,8,0.6489638682730038,4,2,0.9421965317919075,0.5301507537688442,1,0
0,14,8,-0.6329473081991379,8,2,0.9523809523809523,0.5301507537688442,0,0
0,9,8,-0.6110582819809183,2,1,0.9038461538461539,0.5301507537688442,0,0
0,16,9,-0.6133033103109922,19,2,0.965034965034965,0.4962593516209476,0,0
0,15,9,-0.409005732274276,19,1,0.965034965034965,0.4962593516209476,0,0
0,0,9,-0.2047081542375599,19,2,0.965034965034965,0.4962593516209476,0,0
0,16,9,0.0035182233767853603,19,1,0.965034965034965,0.4962593516209476,0,0
0,20,9,-1.6679053683631613,10,2,0.9230769230769231,0.4962593516209476,0,0
0,13,9,-1.463607790326445,10,2,0.9230769230769231,0.4962593516209476,0,0
0,19,9,-1.1195571987426347,7,2,0.9583333333333334,0.4962593516209476,0,0
0,11,4,-0.27149774705725555,12,1,0.945273631840796,0.5914786967418546,0,0
0,2,4,-0.06720016902053945,12,0,0.945273631840796,0.5914786967418546,0,0
0,1,4,0.1331686094385475,12,0,0.945273631840796,0.5914786967418546,0,0
0,15,4,-0.6980531297712782,18,2,0.9333333333333333,0.5914786967418546,0,0
0,4,4,-1.0454712638501993,8,0,0.9523809523809523,0.5914786967418546,0,0
0,17,4,-0.8411736858134832,8,2,0.9523809523809523,0.5914786967418546,0,0
0,18,4,-0.41068950352183137,2,2,0.9038461538461539,0.5914786967418546,0,0
0,8,4,-1.4765167032243696,11,2,0.9166666666666666,0.5914786967418546,0,0
0,4,2,0.23700116970446092,17,0,0.955,0.8980099502487562,0,0
0,3,2,0.44522754731880615,17,0,0.955,0.8980099502487562,0,0
0,2,2,0.6534539249331515,17,0,0.955,0.8980099502487562,0,0
0,3,2,0.8577515029698676,17,0,0.955,0.8980099502487562,0,0
0,3,2,1.0581202814289545,17,1,0.955,0.8980099502487562,0,0
0,11,2,1.6132035360397023,9,1,0.9440993788819876,0.8980099502487562,0,0
0,5,2,1.8175011140764186,9,2,0.9440993788819876,0.8980099502487562,0,0
0,4,2,2.025727491690764,9,2,0.9440993788819876,0.8980099502487562,0,0
0,4,2,2.233953869305109,9,1,0.9440993788819876,0.8980099502487562,0,0
0,2,2,2.438251447341825,9,0,0.9440993788819876,0.8980099502487562,0,0
0,5,2,-1.0510838346753837,3,1,0.8444444444444444,0.8980099502487562,0,0
0,3,5,0.33746618747526363,12,1,0.945273631840796,0.8778054862842892,0,0
0,1,5,0.5417637655119797,12,2,0.945273631840796,0.8778054862842892,0,0
0,1,5,0.7460613435486958,12,0,0.945273631840796,0.8778054862842892,0,0
0,1,5,0.9542877211630411,12,0,0.945273631840796,0.8778054862842892,0,0
0,1,5,1.1625140987773863,12,0,0.945273631840796,0.8778054862842892,0,0
0,1,5,1.3668116768141025,12,0,0.945273631840796,0.8778054862842892,0,0
0,1,5,1.5671804552731894,12,0,0.945273631840796,0.8778054862842892,0,0
0,3,5,0.21174460099113063,19,0,0.965034965034965,0.8778054862842892,0,0
0,15,5,0.41604217902784674,19,1,0.965034965034965,0.8778054862842892,0,0
0,2,5,0.6164109574869336,19,0,0.965034965034965,0.8778054862842892,0,0
0,10,1,-0.785047977561638,4,1,0.9421965317919075,0.4547738693467337,1,0
0,14,1,-0.5807503995249219,4,2,0.9421965317919075,0.4547738693467337,1,0
0,8,1,-1.3642652867206793,5,1,0.9175257731958762,0.4547738693467337,0,0
0,9,1,-0.7435149534552727,5,1,0.9175257731958762,0.4547738693467337,0,0
0,15,1,-0.3388485969594697,5,1,0.9175257731958762,0.4547738693467337,0,0
0,7,1,-1.231808615246325,2,1,0.9038461538461539,0.4547738693467337,0,0
0,7,1,-1.0235822376319796,2,1,0.9038461538461539,0.4547738693467337,0,0
0,8,1,-0.8153558600176344,2,1,0.9038461538461539,0.4547738693467337,0,0
0,11,1,-1.8632228330795821,13,2,0.9142857142857143,0.4547738693467337,0,0
0,5,1,-1.6549964554652368,13,1,0.9142857142857143,0.4547738693467337,0,0
0,20,1,-0.9051569932205865,15,2,0.9387755102040817,0.4547738693467337,0,0
0,13,1,-0.7300447834748299,0,2,0.9565217391304348,0.4547738693467337,0,0
0,16,6,-0.4937555517345621,18,1,0.9333333333333333,0.6084788029925188,0,0
0,14,6,-0.289457973697846,18,1,0.9333333333333333,0.6084788029925188,0,0
0,9,6,-0.08123159608350071,18,2,0.9333333333333333,0.6084788029925188,0,0
0,10,6,0.12699478153084454,18,1,0.9333333333333333,0.6084788029925188,0,0
0,12,6,0.33129235956756065,18,2,0.9333333333333333,0.6084788029925188,0,0
0,13,6,-1.234614900658917,6,1,0.9230769230769231,0.6084788029925188,0,0
0,14,6,-1.030317322622201,6,2,0.9230769230769231,0.6084788029925188,0,0
0,13,0,-1.1027194862670813,18,2,0.9333333333333333,0.42713567839195976,0,0
0,22,0,-0.9023507078079943,18,1,0.9333333333333333,0.42713567839195976,0,0
0,16,0,-0.6688677614803188,1,2,0.88,0.42713567839195976,0,0
0,18,0,-1.2514526131344708,3,2,0.8444444444444444,0.42713567839195976,0,0
0,1,7,-0.7805579209014905,17,2,0.955,0.825,0,0
0,1,7,-0.5762603428647743,17,0,0.955,0.825,0,0
0,6,7,-0.3758915644056874,17,0,0.955,0.825,0,0
0,1,7,-0.1715939863689713,17,0,0.955,0.825,0,0
0,12,7,0.0327035916677448,17,2,0.955,0.825,0,0
0,2,7,-0.37645282148820586,4,2,0.9421965317919075,0.825,1,0
